시즌,제목,리뷰수,평점,줄거리
1,12:00 a.m.-1:00 a.m.,"3,048",8.2,Jack Bauer is called to his office because there's a threat on the life of a US Senator who's running for President; Jack also discovers that his daughter has skipped out her bedroom window.
1,1:00 a.m.-2:00 a.m.,"2,286",8.2,An assassin has stolen the ID of a photographer scheduled to meet a presidential candidate; Jack's wife searches for their daughter; Jack gets more evidence of a rogue within his unit.
1,2:00 a.m.-3:00 a.m.,"2,121",8.1,Jack thinks he's identified the mole inside CTU. Kim and Janet realize they are being kidnapped and try to escape. Palmer orders an employee to get dirt on a reporter who might jeopardize his campaign. Ira Gaines' plans come to a halt when he must renegotiate with a conspirator.
1,3:00 a.m.-4:00 a.m.,"2,003",8.1,District Director George Mason (Berkely) shuts down CTU forcing Jack to escape in order to follow up on a lead on a conspirator. Nina and Jamie try to cover for him. Palmer discovers how a reporter found out about Keith. Jack finally learns that Kim and Janet have been kidnapped.
1,4:00 a.m.-5:00 a.m.,"1,907",8.1,Jack follows the arrested conspirator to the police station in order to get more info on Kim's whereabouts. Palmer meets with a reporter who has some damaging information. Kim realizes just how dangerous Ira Gaines really is.
1,5:00 a.m.-6:00 a.m.,"1,933",8.4,Jack meets up with Teri at the hospital where they wait to talk to Janet about Kim. Palmer confronts his family about the cover up.
1,6:00 a.m.-7:00 a.m.,"1,915",8.5,Jack returns to CTU to switch the key card with a fake per Gaines' orders. Palmer tries to convince Keith and Sherry to go public about the murder.
1,7:00 a.m.-8:00 a.m.,"1,877",8.6,Jack delivers the briefcase to the assassin at Palmer's press conference. Palmer wants to let the press know what happened with Keith and the murder.
1,8:00 a.m.-9:00 a.m.,"1,814",8.3,Jack is taken into custody by the Secret Service after he stops the assassination. He quickly escapes in order to check on another name from the key card. Palmer tries to deal with the assassination attempt.
1,9:00 a.m.-10:00 a.m.,"1,911",8.1,Jack is on the run after escaping custody and rushes to intercept Ted Cofell before he leaves the city. Nina receives a phone call from Teri and tries to trace the call. Palmer still wants to go ahead with the press conference despite objections. Alberta Green temporarily takes over as Director of CTU.
1,10:00 a.m.-11:00 a.m.,"1,782",8.4,"Jack takes Ted Cofell hostage after finding his name on the key-card and tries to get whatever info he has about the conspiracy which only amounts to the name of another conspirator, a one Kevin Carroll. Palmer starts to piece together his connection to Jack. Gaines receives orders to kill Teri and Kim from his boss Andre Drazen."
1,11:00 a.m.-12:00 p.m.,"1,797",8.6,"Jack closes in on his family's location; a suspicious Green confronts Nina and Tony, and separates them for interrogation; Palmer learns just how far his backers are willing to go."
1,12:00 p.m.-1:00 p.m.,"1,749",8.4,Jack has a final confrontation with Gaines as a CTU chopper heads to the compound. Nina and Tony talk to Jamey's mother in order to learn why she was helping the assassins. Carl Webb threatens Palmer to keep quiet about the murder once and for all. CTU learns that more assassins are on their way to LA.
